"f","l_density"
751,37.7955957801446
752,37.7891846635001
753,37.7827820666144
754,37.7763879668737
755,37.7700023417541
756,37.7636251688211
757,37.7572564257293
758,37.7508960902215
759,37.7445441401288
760,37.7382005533697
761,37.7318653079501
762,37.7255383819622
763,37.7192197535844
764,37.7129094010812
765,37.7066073028021
766,37.7003134371814
767,37.6940277827381
768,37.6877503180749
769,37.681481021878
770,37.675219872917
771,37.6689668500439
772,37.662721932193
773,37.6564850983804
774,37.6502563277036
775,37.6440355993411
776,37.6378228925518
777,37.631618186675
778,37.6254214611295
779,37.6192326954135
780,37.6130518691041
781,37.6068789618568
782,37.6007139534053
783,37.594556823561
784,37.5884075522126
785,37.5822661193256
786,37.5761325049422
787,37.5700066891806
788,37.5638886522348
789,37.557778374374
790,37.5516758359426
791,37.5455810173595
792,37.5394938991178
793,37.5334144617844
794,37.5273426859997
795,37.5212785524774
796,37.5152220420036
797,37.509173135437
798,37.5031318137082
799,37.4970980578195
800,37.4910718488444
801,37.4850531679275
802,37.4790419962838
803,37.4730383151986
804,37.467042106027
805,37.4610533501938
806,37.4550720291929
807,37.449098124587
808,37.4431316180072
809,37.4371724911529
810,37.4312207257914
811,37.4252763037573
812,37.4193392069525
813,37.4134094173455
814,37.4074869169717
815,37.4015716879322
816,37.3956637123943
817,37.3897629725906
818,37.3838694508191
819,37.3779831294425
820,37.3721039908882
821,37.3662320176477
822,37.3603671922766
823,37.354509497394
824,37.3486589156824
825,37.3428154298873
826,37.3369790228169
827,37.3311496773417
828,37.3253273763946
829,37.3195121029699
830,37.3137038401236
831,37.3079025709731
832,37.3021082786963
833,37.296320946532
834,37.2905405577793
835,37.2847670957973
836,37.2790005440048
837,37.2732408858802
838,37.267488104961
839,37.2617421848435
840,37.2560031091828
841,37.2502708616923
842,37.2445454261434
843,37.2388267863652
844,37.2331149262446
845,37.2274098297255
846,37.2217114808088
847,37.2160198635521
848,37.2103349620696
849,37.2046567605314
850,37.1989852431638
851,37.1933203942485
852,37.1876621981226
853,37.1820106391784
854,37.1763657018631
855,37.1707273706785
856,37.1650956301805
857,37.1594704649794
858,37.1538518597392
859,37.1482397991775
860,37.1426342680653
861,37.1370352512266
862,37.1314427335384
863,37.1258566999301
864,37.1202771353836
865,37.1147040249328
866,37.1091373536637
867,37.1035771067137
868,37.0980232692717
869,37.0924758265777
870,37.0869347639227
871,37.0814000666484
872,37.0758717201469
873,37.0703497098605
874,37.0648340212816
875,37.0593246399524
876,37.0538215514644
877,37.0483247414586
878,37.0428341956251
879,37.0373498997029
880,37.0318718394795
881,37.0264000007909
882,37.0209343695213
883,37.0154749316029
884,37.0100216730157
885,37.0045745797871
886,36.9991336379921
887,36.9936988337526
888,36.9882701532375
889,36.9828475826623
890,36.9774311082892
891,36.9720207164265
892,36.9666163934286
893,36.9612181256958
894,36.9558258996742
895,36.950439701855
896,36.945059518775
897,36.939685337016
898,36.9343171432044
899,36.9289549240116
900,36.9235986661531
901,36.918248356389
902,36.9129039815233
903,36.9075655284037
904,36.902232983922
905,36.896906335013
906,36.891585568655
907,36.8862706718695
908,36.8809616317208
909,36.8756584353159
910,36.8703610698043
911,36.8650695223778
912,36.8597837802707
913,36.8545038307587
914,36.8492296611598
915,36.8439612588334
916,36.8386986111802
917,36.8334417056424
918,36.828190529703
919,36.8229450708861
920,36.8177053167563
921,36.8124712549189
922,36.8072428730196
923,36.802020158744
924,36.7968030998179
925,36.791591684007
926,36.7863858991165
927,36.7811857329911
928,36.7759911735149
929,36.7708022086111
930,36.765618826242
931,36.7604410144084
932,36.75526876115
933,36.750102054545
934,36.7449408827098
935,36.7397852337989
936,36.734635096005
937,36.7294904575584
938,36.7243513067272
939,36.7192176318169
940,36.7140894211705
941,36.708966663168
942,36.7038493462265
