Profile,Anchor,Trigger,Bypass,Floor,SII,Sones
A5,0.500000,71.666667,80.000000,-13.333333,0.626156,5.247229
A4,0.600000,78.333333,73.333333,-13.333333,0.588109,5.222063
A2,0.400000,78.333333,80.000000,-13.333333,0.889798,5.063242
A4,0.300000,65.000000,80.000000,-13.333333,0.576400,5.222826
A4,0.400000,71.666667,80.000000,-13.333333,0.583580,5.222764
A5,0.600000,71.666667,80.000000,-13.333333,0.645569,5.247169
A4,0.600000,85.000000,73.333333,-13.333333,0.588208,5.222045
A4,0.400000,78.333333,80.000000,-13.333333,0.583580,5.222764
A2,0.600000,85.000000,73.333333,-13.333333,0.888594,5.063421
A5,0.600000,78.333333,80.000000,-13.333333,0.645419,5.247301
A2,0.500000,85.000000,73.333333,-13.333333,0.889193,5.063323
A2,0.300000,78.333333,80.000000,-13.333333,0.887798,5.063163
A2,0.600000,65.000000,80.000000,-13.333333,0.888594,5.063421
A4,0.500000,78.333333,80.000000,-13.333333,0.589864,5.221881
A2,0.300000,85.000000,80.000000,-13.333333,0.887792,5.063162
A2,0.500000,65.000000,80.000000,-13.333333,0.889259,5.063323
A5,0.300000,65.000000,80.000000,-13.333333,0.557150,5.249331
A5,0.400000,71.666667,80.000000,-13.333333,0.597003,5.247196
A2,0.400000,85.000000,80.000000,-13.333333,0.889777,5.063241
A5,0.500000,85.000000,80.000000,-13.333333,0.622470,5.247251
A4,0.500000,85.000000,80.000000,-13.333333,0.589731,5.221882
A5,0.400000,65.000000,80.000000,-13.333333,0.597051,5.247196
A5,0.300000,71.666667,80.000000,-13.333333,0.557150,5.249331
A5,0.500000,78.333333,80.000000,-13.333333,0.626051,5.247267
A4,0.600000,65.000000,80.000000,-13.333333,0.588156,5.222055
A4,0.300000,78.333333,80.000000,-13.333333,0.576400,5.222826
A5,0.600000,85.000000,80.000000,-13.333333,0.645419,5.247301
A2,0.400000,65.000000,60.000000,-6.666667,0.889793,5.063242
A4,0.400000,65.000000,60.000000,-6.666667,0.583580,5.222764
A4,0.600000,71.666667,80.000000,-13.333333,0.588153,5.222055
A4,0.400000,85.000000,80.000000,-13.333333,0.583580,5.222764
A2,0.500000,71.666667,80.000000,-13.333333,0.889275,5.063324
A4,0.500000,65.000000,60.000000,-6.666667,0.589781,5.221882
A4,0.300000,71.666667,80.000000,-13.333333,0.576400,5.222826
A2,0.300000,71.666667,60.000000,-6.666667,0.887793,5.063161
A2,0.600000,78.333333,80.000000,-13.333333,0.888594,5.063421
A2,0.300000,65.000000,60.000000,-6.666667,0.887793,5.063161
A5,0.600000,65.000000,60.000000,-6.666667,0.645377,5.247293
A2,0.400000,71.666667,60.000000,-6.666667,0.889798,5.063242
A2,0.500000,78.333333,80.000000,-13.333333,0.889252,5.063323
A2,0.600000,71.666667,80.000000,-13.333333,0.888594,5.063421
A5,0.500000,71.666667,60.000000,-6.666667,0.626394,5.247275
A5,0.300000,78.333333,80.000000,-13.333333,0.557150,5.249331
A5,0.500000,65.000000,60.000000,-6.666667,0.626196,5.247274
A5,0.600000,71.666667,60.000000,-6.666667,0.645502,5.247302
A5,0.400000,85.000000,80.000000,-13.333333,0.597003,5.247196
A5,0.300000,85.000000,80.000000,-13.333333,0.557150,5.249331
A5,0.400000,78.333333,80.000000,-13.333333,0.597003,5.247196
A4,0.400000,78.333333,60.000000,-6.666667,0.583579,5.222764
A4,0.600000,78.333333,80.000000,-13.333333,0.587745,5.222132
A4,0.500000,71.666667,60.000000,-6.666667,0.589590,5.221883
A4,0.400000,71.666667,60.000000,-6.666667,0.583580,5.222764
A4,0.500000,78.333333,60.000000,-6.666667,0.589789,5.221781
A4,0.600000,85.000000,80.000000,-13.333333,0.588166,5.222044
A2,0.300000,85.000000,60.000000,-6.666667,0.887787,5.063163
A4,0.300000,85.000000,80.000000,-13.333333,0.576400,5.222826
A2,0.500000,85.000000,80.000000,-13.333333,0.889264,5.063323
A4,0.300000,65.000000,60.000000,-6.666667,0.576400,5.222826
A2,0.300000,78.333333,60.000000,-6.666667,0.887793,5.063161
A2,0.400000,85.000000,60.000000,-6.666667,0.889798,5.063242
A2,0.400000,78.333333,60.000000,-6.666667,0.889810,5.063243
A5,0.500000,85.000000,60.000000,-6.666667,0.626136,5.247271
A2,0.500000,65.000000,60.000000,-6.666667,0.889033,5.063317
A2,0.600000,85.000000,80.000000,-13.333333,0.888594,5.063421
A5,0.300000,65.000000,60.000000,-6.666667,0.557181,5.249322
A5,0.600000,85.000000,60.000000,-6.666667,0.645513,5.247302
A5,0.300000,71.666667,60.000000,-6.666667,0.557150,5.249331
